id,label
1,1
2,1
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,0
23,1
24,0
25,1
26,0
27,1
28,1
29,1
30,1
31,0
32,1
33,1
34,0
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,0
82,1
83,1
84,0
85,1
86,1
87,0
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,0
112,1
113,1
114,0
115,1
116,0
117,0
118,1
119,1
120,1
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,1
129,0
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,0
146,1
147,1
148,0
149,1
150,0
151,0
152,0
153,0
154,1
155,0
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,0
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,0
193,1
194,0
195,1
196,0
197,1
198,0
199,0
200,0
201,1
202,1
203,0
204,1
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,1
214,0
215,1
216,1
217,0
218,0
219,1
220,1
221,0
222,1
223,0
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,1
250,0
251,1
252,1
253,0
254,1
255,1
256,1
257,1
258,0
259,0
260,0
261,1
262,0
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,0
274,1
275,0
276,1
277,0
278,1
279,1
280,1
281,0
282,0
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,0
291,1
292,0
293,0
294,0
295,1
296,1
297,1
298,0
299,0
300,0
301,1
302,1
303,1
304,0
305,1
306,1
307,0
308,1
309,1
310,0
311,1
312,1
313,0
314,1
315,0
316,0
317,1
318,0
319,1
320,0
321,1
322,1
323,1
324,1
325,1
326,0
327,1
328,1
329,1
330,0
331,0
332,1
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,1
341,0
342,0
343,1
344,0
345,0
346,0
347,1
348,1
349,1
350,1
351,1
352,1
353,0
354,0
355,0
356,1
357,0
358,1
359,1
360,1
361,0
362,0
363,0
364,0
365,1
366,1
367,1
368,0
369,1
370,1
371,1
372,1
373,1
374,1
375,0
376,0
377,0
378,1
379,0
380,0
381,0
382,1
383,0
384,0
385,1
386,1
387,1
388,1
389,0
390,0
391,1
392,1
393,1
394,1
395,0
396,0
397,1
398,1
399,0
400,1
401,0
402,0
403,1
404,1
405,0
406,1
407,1
408,1
409,0
410,0
411,0
412,1
413,1
414,0
415,1
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,0
431,1
432,0
433,0
434,1
435,1
436,1
437,0
438,1
439,0
440,1
441,1
442,1
443,0
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,0
456,1
457,1
458,1
459,1
460,1
461,1
462,0
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,0
471,1
472,0
473,1
474,1
475,0
476,1
477,1
478,0
479,1
480,1
481,0
482,1
483,1
484,0
485,1
486,0
487,1
488,1
489,1
490,1
491,0
492,1
493,1
494,1
495,1
496,0
497,1
498,0
499,1
500,1
501,0
502,0
503,0
504,0
505,1
506,1
507,1
508,1
509,1
510,0
511,0
512,1
513,1
514,0
515,1
516,1
517,0
518,0
519,0
520,1
521,1
522,1
523,1
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,1
532,1
533,1
534,0
535,1
536,1
537,0
538,0
539,1
540,1
541,1
542,0
543,0
544,1
545,1
546,1
547,0
548,0
549,0
550,1
551,1
552,0
553,1
554,1
555,1
556,1
557,0
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,0
568,1
569,1
570,1
571,0
572,1
573,1
574,0
575,1
576,1
577,0
578,0
579,1
580,1
581,1
582,0
583,1
584,0
585,1
586,1
587,1
588,0
589,1
590,1
591,0
592,1
593,1
594,1
595,0
596,0
597,0
598,0
599,1
600,1
601,0
602,1
